korisnik|Andjela735|Andjela1|Andjela|Markovic|andjela@gmail.com|126426753|bih|38165322256654|z
korisnik|zarkoo7|zarko53|Zarko|Nedeljkovic|zarko@yahoo.com|123456783|rusija|38135676543565|m
admin|Alexa|Aleksa123|Aleksa|Cup|aleksa@doktore.com|956483779|srbija|381691505023|m
prodavac|Cone|Neca123|Nenad|Spasic|nenad@hotmail.com|246381222|rumunija|38160123454|m
prodavac|Son1a|Sonja123|Sonja|Marinkovic|sonia1@live.com|123456783|crna-gora|381665432543|z
korisnik|Dragisha|gagi561|Dragisa|Ristic|dragisa1@live.com|123456788|litvanija|381691622977|m
prodavac|Paca1|paca123|Marko|Milikic|paca@mts.si|123648220|srbija|38165342521411|m
prodavac|Gusi|Gusar123|Milan|Gugleta|gusi@vinjak.com||srbija|3816436384443|
korisnik|Cune|Laki123|Lazar|Nikolic|lazar.nikolic@unsac.rs|745632219|odzaci|381623543432|m
prodavac|Mira5|Mira1|Mira|Mijic|miradosen@gmail.com|388121289|srbija|816357933344|z
prodavac|Bane|banevolan|Branislav|Cuk|bane@volan.rs|100000001|srbija|381653212211|m
